player,category,average
Virat Kohli,Overall,51.51
Virat Kohli,Home,54.69
Virat Kohli,Away,49.63
Virat Kohli,Batting First,41.23
Virat Kohli,Chasing,61.22
Virat Kohli,Wins,67.5
Virat Kohli,Finals,24.83
Sachin Tendulkar,Overall,44.83
Sachin Tendulkar,Home,48.11
Sachin Tendulkar,Away,43.04
Sachin Tendulkar,Batting First,47.34
Sachin Tendulkar,Chasing,42.33
Sachin Tendulkar,Wins,56.63
Sachin Tendulkar,Finals,54.44
IVA Richards,Overall,47
IVA Richards,Home,36.59
IVA Richards,Away,48.89
IVA Richards,Batting First,48.82
IVA Richards,Chasing,44.92
IVA Richards,Wins,56.98
IVA Richards,Finals,55.73
AB De Villiers,Overall,53.63
AB De Villiers,Home,52.42
AB De Villiers,Away,54.49
AB De Villiers,Batting First,51.46
AB De Villiers,Chasing,56.66
AB De Villiers,Wins,66.29
AB De Villiers,Finals,
MS Dhoni,Overall,51.25
MS Dhoni,Home,59.32
MS Dhoni,Away,46.89
MS Dhoni,Batting First,51.39
MS Dhoni,Chasing,51.07
MS Dhoni,Wins,73.11
MS Dhoni,Finals,49.3